isin,ticker,ticker_yahoo,name,emitter,index_tracked,asset_class,region,sector_focus,ter,replication,distributing,dividend_yield_2023,dividend_yield_2024,dividend_yield_2025,currency,exchange,domicile,ucits,pea_eligible,established,fund_size_musd,holdings_count,notes
IE00BDH5CN55,SHY,SHYP.L,SPDR Bloomberg 1-10 Year EUR Corporate Bond UCITS ETF,SPDR,Bloomberg EUR Corp 1-10Y,Bond,Eurozone,Corporate,0.15,Sampling,True,2.9,3.0,3.0,EUR,Xetra,Ireland,True,False,2005,800,1000,SPDR EUR corp
IE00B3DKXQ44,GLTL,GLTL.DE,Invesco Global Treasury Bond UCITS ETF EUR Hedged Acc,Invesco,Global Treasury EUR Hedged,Bond,World Bonds,Government,0.15,Sampling,False,0,0,0,EUR,Xetra,Ireland,True,False,2011,600,1500,Hedged govt
IE00BF1B7305,GOVB,GOVB.DE,iShares Global Government Bond UCITS ETF EUR Hedged (Dist),BlackRock Asset Management Ireland,Global Govt EUR Hedged,Bond,World Bonds,Government,0.25,Sampling,True,2.5,2.7,2.9,EUR,Xetra,Ireland,True,False,2017,500,7000,Hedged global govt
FR0010514777,FEURO,FEURO.PA,BNP Paribas Easy Euro Stoxx 50 UCITS ETF EUR C,BNP Paribas Easy,Euro Stoxx 50,Equity,Eurozone,All sectors,0.25,Physical,True,3.2,3.1,3.0,EUR,Euronext Paris,France,True,True,2014,900,50,PEA Euro Stoxx
FR0010405508,MSTC,MSTC.PA,BNP Paribas Easy Stoxx Europe 600 UCITS ETF EUR C,BNP Paribas Easy,STOXX Europe 600,Equity,Europe,All sectors,0.25,Physical,True,3.2,3.3,3.1,EUR,Euronext Paris,France,True,True,2015,1200,600,PEA Europe 600
FR0010755747,EWLD_ALT,MSE.PA,BNP Paribas Easy MSCI Emerging Markets UCITS ETF,BNP Paribas Easy,MSCI Emerging Markets,Equity,Emerging Markets,All sectors,0.25,Physical,True,2.0,1.8,1.6,EUR,Euronext Paris,France,True,True,2018,400,1400,PEA EM BNPP
FR0011869339,EFECO,EFECO.PA,Amundi PEA Stoxx Europe 600 Health Care UCITS ETF,Amundi,STOXX Europe 600 Health Care,Equity,Europe,Health Care,0.30,Physical,True,2.1,2.0,1.9,EUR,Euronext Paris,France,True,True,2018,150,80,PEA health
FR0011552268,ESGE,ESGE.PA,BNP Paribas Easy STOXX Europe 600 ESG-X UCITS ETF EUR C,BNP Paribas Easy,STOXX Europe 600 ESG-X,Equity,Europe,All sectors (ESG),0.20,Physical,True,3.1,3.0,2.9,EUR,Euronext Paris,France,True,True,2018,600,550,ESG PEA Europe
IE00BZ6R6W37,SCHA,SCHA.DE,Vanguard FTSE All-World UCITS ETF GBP Dist,Vanguard,FTSE All-World,Equity,World,All sectors,0.22,Sampling,True,1.9,1.8,1.8,GBP,London (LSE),Ireland,True,False,2019,40000,3700,GBP dist line of VWRL family
IE00BL25JN82,VVLU,VVLU.DE,Invesco FTSE All-World UCITS ETF Acc,Invesco,FTSE All-World,Equity,World,All sectors,0.25,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2020,1000,3700,Invesco all-world
IE00BK1B7406,SUSL,SUSL.DE,JPMorgan Global Research Enhanced Index Equity ESG UCITS ETF,J.P. Morgan Asset Management,JPM Global ESG,Equity,World,All sectors (ESG),0.18,Optimised,True,1.7,1.6,1.5,USD,Xetra,Ireland,True,False,2018,1200,1300,JPM ESG world
IE00BJ5DYNY1,SQWD,SQWD.DE,Sparinvest MSCI World UCITS ETF (Dist),Sparinvest,MSCI World,Equity,World,All sectors,0.20,Physical,True,1.9,1.8,1.7,EUR,Xetra,Denmark,True,False,2012,400,1350,Nordic dist World
IE00BDTXQT9,SNPW,SNPW.DE,L&G Clean Water UCITS ETF,Legal & General,Clean Water,Equity,World,Water,0.35,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2020,600,100,Water thematic
IE00BLD80H98,DIVA,DIVA.DE,L&G Clean Water UCITS ETF EUR Hedged,Legal & General,Clean Water EUR Hedged,Equity,World,Water,0.50,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2020,300,100,Hedged water
IE00BJ5JNZ46,AIRX,AIRX.DE,L&G Clean Water & Air UCITS ETF,Legal & General,Clean Water & Air,Equity,World,Water/Clean air,0.45,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2019,200,120,Water & air
IE00BFX8X914,AINT,AINT.DE,L&G Artificial Intelligence UCITS ETF,Legal & General,AI & Big Data,Equity,World,AI / Technology,0.49,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2018,1200,150,AI thematic
IE00BYX2JD9_ALT,AIUN,AIUN.DE,L&G Artificial Intelligence UCITS ETF EUR Hedged,Legal & General,AI & Big Data EUR Hedged,Equity,World,AI / Technology,0.60,Sampling,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,500,150,Hedged AI
IE00BKWQ0Q84,NUCL,NUCL.DE,VanEck Uranium and Nuclear Technologies UCITS ETF A,VanEck,Uranium & Nuclear,Equity,World,Nuclear,0.55,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2019,1200,50,Nuclear thematic
IE00BLD80S64,DRIV,DRIV.DE,L&G Battery Value-Chain UCITS ETF,Legal & General,Battery Value-Chain,Equity,World,Batteries,0.49,Sampling,False,0,0,0,USD,Xetra,Ireland,True,False,2018,900,150,Battery thematic
IE00BLNPYQ95,RENE,RENE.DE,L&G Renewable Energy UCITS ETF EUR Hedged,Legal & General,Renewable Energy EUR Hedged,Equity,World,Renewables,0.55,Sampling,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,500,110,Hedged renewables
IE00BYVG9J40,BATT,BATT.DE,L&G Battery Value-Chain UCITS ETF EUR Hedged,Legal & General,Battery Value-Chain EUR Hedged,Equity,World,Batteries,0.60,Sampling,False,0,0,0,EUR,Xetra,Ireland,True,False,2019,400,150,Hedged battery
IE00BLRMRXY7,SMLP,SMLP.DE,iShares MSCI World Small Cap UCITS ETF EUR Hedged (Acc),BlackRock Asset Management Ireland,MSCI World Small Cap EUR Hedged,Equity,World,Small caps,0.58,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2016,300,3500,Hedged small caps
IE00BK955960,IHCK,IHCK.DE,iShares MSCI World Consumer Discretionary Sector UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World Cons Discretionary,Equity,World,Consumer Discretionary,0.36,Physical,False,0,0,0,USD,Xetra,Ireland,True,False,2016,700,300,Cons discretionary
IE00BJ5JNY27,IPDM,IPDM.DE,iShares MSCI World Consumer Discretionary UCITS ETF EUR Hedged,BlackRock Asset Management Ireland,MSCI World Cons Disc EUR Hedged,Equity,World,Consumer Discretionary,0.49,Physical,False,0,0,0,EUR,Xetra,Ireland,True,False,2015,300,300,Hedged cons disc
IE00B6R52377,IUHV,IUHV.DE,iShares MSCI World Value Sector UCITS ETF,BlackRock Asset Management Ireland,MSCI World Enhanced Value,Equity,World,Value factor,0.25,Physical,True,2.7,2.6,2.5,USD,Xetra,Ireland,True,False,2016,800,400,Value factor
IE00BQT6868_ALT,QDV5,QDV5.DE,iShares MSCI World Quality Factor UCITS ETF,BlackRock Asset Management Ireland,MSCI World Sector Neutral Quality,Equity,World,Quality factor,0.25,Optimised,True,1.6,1.5,1.4,USD,Xetra,Ireland,True,False,2016,700,400,Quality factor
IE00BKM4GY85,IS3S,IS3S.DE,iShares MSCI World Momentum Factor UCITS ETF,BlackRock Asset Management Ireland,MSCI World Momentum,Equity,World,Momentum factor,0.30,Optimised,True,1.5,1.4,1.3,USD,Xetra,Ireland,True,False,2016,600,400,Momentum factor
IE00BLD80M64,MVOL_ALT,MVOW.DE,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),BlackRock Asset Management Ireland,MSCI World Min Vol,Equity,World,Low volatility,0.20,Optimised,False,0,0,0,USD,Xetra,Ireland,True,False,2014,2000,250,USD min-vol
IE00BS4ST947,SUSL_ALT,SUSL.AS,iShares MSCI World ESG Enhanced UCITS ETF EUR (Acc),BlackRock Asset Management Ireland,MSCI World ESG Enhanced,Equity,World,All sectors (ESG),0.20,Optimised,False,0,0,0,EUR,Amsterdam (Euronext),Ireland,True,False,2018,2000,1350,AMS ESG line
IE00B9457124,ECH,ECH.DE,Xtrackers MSCI Europe UCITS ETF 1D,DWS / Xtrackers,MSCI Europe,Equity,Europe,All sectors,0.25,Physical,True,3.0,3.0,2.9,USD,Xetra,Luxembourg,True,False,2014,1000,430,Xtrackers Europe
IE00BD3QJ670,VFEU,VFEU.DE,Xtrackers MSCI Europe UCITS ETF 1C,DWS / Xtrackers,MSCI Europe,Equity,Europe,All sectors,0.15,Physical,False,0,0,0,USD,Xetra,Luxembourg,True,False,2019,800,430,Acc Europe
LU1234086849,PRIME,PRIME.PA,Amundi Prime Europe UCITS ETF Acc,Amundi,SolEurope,Equity,Europe,All sectors,0.07,Optimised,False,0,0,0,EUR,Xetra,Luxembourg,True,False,2020,700,600,Cheapest Europe tracker
LU2072236587,WC04,WC04.DE,Xtrackers MSCI Europe Value UCITS ETF 1D,DWS / Xtrackers,MSCI Europe Value,Equity,Europe,Value factor,0.25,Physical,True,3.5,3.4,3.3,USD,Xetra,Luxembourg,True,False,2020,300,400,Europe value
LU2072236999,WC05,WC05.DE,Xtrackers MSCI Europe Momentum UCITS ETF 1D,DWS / Xtrackers,MSCI Europe Momentum,Equity,Europe,Momentum factor,0.30,Physical,True,2.0,1.9,1.8,USD,Xetra,Luxembourg,True,False,2020,200,400,Europe momentum
FR0013264005,PALG,PALG.PA,Amundi Prime All Country UCITS ETF,Amundi,SolAC World,Equity,World,All sectors,0.08,Optimised,True,1.8,1.7,1.6,EUR,Euronext Paris,France,True,True,2022,300,1800,PEA all-country Amundi
FR0011550185_ALT,PUS500,PUS500.PA,Amundi Prime USA UCITS ETF PEA,Amundi,SolUSA,Equity,United States,All sectors,0.08,Optimised,True,1.3,1.2,1.1,EUR,Euronext Paris,France,True,True,2022,200,600,Cheap PEA US proxy
